MultiPolygon(((-80.097341934 -5.42755134199996,-79.106493945 -5.42525943699997,-79.103109218 -6.41800117,-80.095727481 -6.42071558699996,-80.097341934 -5.42755134199996))),17MPP
MultiPolygon(((-80.098573774 -4.52282042899998,-79.109076526 -4.52091224699996,-79.106215864 -5.51368545599996,-80.097209294 -5.51601493699997,-80.098573774 -4.52282042899998))),17MPQ
MultiPolygon(((-80.0995795219999 -3.61806668599996,-79.1111851049999 -3.61654131799997,-79.1088449549999 -4.60934084,-80.098463319 -4.61128649899996,-80.0995795219999 -3.61806668599996))),17MPR
MultiPolygon(((-80.100360025 -2.71383741199998,-79.112821453 -2.71269390299994,-79.1109986069999 -3.70551454299994,-80.099490567 -3.70707753699998,-80.100360025 -2.71383741199998))),17MPS
MultiPolygon(((-79.19235761 -6.32935286599997,-78.200425599 -6.32495290599996,-78.194654944 -7.31701138499994,-79.188628114 -7.32210824599997,-79.19235761 -6.32935286599997))),17MQN
MultiPolygon(((-79.1952722469999 -5.4255310199999,-78.204935446 -5.42176328799997,-78.1999434429999 -6.41386051499995,-79.192046 -6.41832282,-79.1952722469999 -5.4255310199999))),17MQP
MultiPolygon(((-79.1977339059999 -4.52113836099994,-78.20874441 -4.51800143899993,-78.204525314 -5.51013198699997,-79.195007187 -5.51396149199996,-79.1977339059999 -4.52113836099994))),17MQQ
MultiPolygon(((-79.199743756 -3.61672206899993,-78.211854294 -3.61421446499998,-78.208402873 -4.60637286199994,-79.197513178 -4.60957139399994,-79.199743756 -3.61672206899993))),17MQR
MultiPolygon(((-79.201303486 -2.71282940599997,-78.214267704 -2.71094955199993,-78.211579233 -3.70313029399995,-79.1995659899999 -3.70569975299998,-79.201303486 -2.71282940599997))),17MQS
MultiPolygon(((-79.2024168949999 -1.80837998199996,-78.215990513 -1.80712736499993,-78.214062134 -2.79932495699995,-79.201170631 -2.80126618499997,-79.2024168949999 -1.80837998199996))),17MQT
MultiPolygon(((-79.203084285 -0.90392107699995,-78.2170231869999 -0.903295103999938,-78.2158525259999 -1.89550402499998,-79.2023277169999 -1.89681794299997,-79.203084285 -0.90392107699995))),17MQU
MultiPolygon(((-79.20330648 0.0,-78.217366996 0.0,-78.216952158 -0.992214719999936,-79.2030383809999 -0.992902323999942,-79.20330648 0.0))),17MQV
MultiPolygon(((-78.288747782 -6.32542147499993,-77.2975821369999 -6.31930246,-77.289959613 -7.31046599599995,-78.283158627 -7.31755416899995,-78.288747782 -6.32542147499993))),17MRN
MultiPolygon(((-78.293115782 -5.42216452899993,-77.303539284 -5.41692474,-77.296945249 -6.40813000599996,-78.288280791 -6.41433572299997,-78.293115782 -5.42216452899993))),17MRP
MultiPolygon(((-78.2968049409999 -4.51833550299995,-77.308570646 -4.51397297299997,-77.302997531 -5.50521411099993,-78.29271855 -5.51053980699993,-78.2968049409999 -4.51833550299995))),17MRQ
MultiPolygon(((-78.2998170079999 -3.61448151,-77.312678595 -3.61099416899998,-77.308119501 -4.60226527699996,-78.296474147 -4.60671348699998,-78.2998170079999 -3.61448151))),17MRR
MultiPolygon(((-78.302154506 -2.71114974599993,-77.315866558 -2.70853541799994,-77.312315256 -3.69983056399997,-78.2995505979999 -3.70340392599996,-78.302154506 -2.71114974599993))),17MRS
MultiPolygon(((-78.3038231259999 -1.80726076199994,-77.3181422869999 -1.80551873599995,-77.3155950129999 -2.79683200499994,-78.301955403 -2.79953168699996,-78.3038231259999 -1.80726076199994))),17MRT
MultiPolygon(((-78.304823318 -0.903361766999978,-77.3195063909999 -0.902491219999945,-77.3179600139999 -1.89381667299995,-78.303689479 -1.89564395,-78.304823318 -0.903361766999978))),17MRU
MultiPolygon(((-78.3051563129999 0.0,-77.319960543 0.0,-77.319412566 -0.991331687999946,-78.304754523 -0.992287945999976,-78.3051563129999 0.0))),17MRV
MultiPolygon(((-78.304822918 0.903903999000022,-77.319505846 0.903032930000052,-77.319956196 -0.088299047999953,-78.3051531249999 -0.088384214999962,-78.304822918 0.903903999000022))),17NRA
MultiPolygon(((-77.7224233709999 -8.13290784,-76.726481682 -8.13836344,-76.7310018759999 -9.13107848199996,-77.729544655 -9.12494706299998,-77.7224233709999 -8.13290784))),18LTR
MultiPolygon(((-76.82429938 -9.94589016,-75.822873793 -9.94985305899996,-75.82549044 -10.9428165689999,-76.830097312 -10.938449216,-76.82429938 -9.94589016))),18LUP
MultiPolygon(((-76.819520693 -9.04168544699996,-75.820717148 -9.04528195699993,-75.823096231 -10.0382998449999,-76.824792256 -10.0343010189999,-76.819520693 -9.04168544699996))),18LUQ
MultiPolygon(((-76.815217533 -8.13797644499994,-75.818775119 -8.14120853299994,-75.820919808 -9.13427602199994,-76.819969746 -9.13064354699998,-76.815217533 -8.13797644499994))),18LUR
MultiPolygon(((-75.915266026 -10.8541203029999,-74.9107018349999 -10.8554682669999,-74.9103925809999 -11.8484754039999,-75.918435199 -11.847000833,-75.915266026 -10.8541203029999))),18LVN
MultiPolygon(((-75.912634364 -9.94962017199998,-74.910958637 -9.95085350299996,-74.910675456 -10.94391912,-75.9155363469999 -10.942559913,-75.912634364 -9.94962017199998))),18LVP
MultiPolygon(((-75.910242543 -9.04507060199995,-74.911192034 -9.04618990399996,-74.9109345639999 -10.039309359,-75.912881058 -10.0380648459999,-75.910242543 -9.04507060199995))),18LVQ
MultiPolygon(((-75.908088741 -8.14101859299996,-74.9114022049999 -8.14202447899993,-74.911170102 -9.13519304799996,-75.910467302 -9.13406255199993,-75.908088741 -8.14101859299996))),18LVR
MultiPolygon(((-75.0001841869999 -12.664007022,-73.9890537 -12.662087099,-73.984976036 -13.6548089209999,-75.00018493 -13.656884794,-75.0001841869999 -12.664007022))),18LWL
MultiPolygon(((-75.000183563 -11.7595014149999,-73.9924791289999 -11.7577225439999,-73.988704054 -12.7505129899999,-75.000184251 -12.7524467549999,-75.000183563 -11.7595014149999))),18LWM
MultiPolygon(((-75.0001829879999 -10.855481222,-73.995631794 -10.853842437,-73.99215422 -11.846696868,-75.000183622 -11.848489576,-75.0001829879999 -10.855481222))),18LWN
MultiPolygon(((-75.0001824619999 -9.95086535599995,-73.9985195519999 -9.94936593599994,-73.995335167 -10.9422797289999,-75.0001830419999 -10.943932183,-75.0001824619999 -9.95086535599995))),18LWP
MultiPolygon(((-75.0001819839999 -9.04620066099994,-74.001144129 -9.04483987099997,-73.998248851 -10.0378083049999,-75.0001825109999 -10.039321319,-75.0001819839999 -9.04620066099994))),18LWQ
MultiPolygon(((-75.0001815529999 -8.14203414599996,-74.003507526 -8.14081124199993,-74.000897498 -9.13382951399996,-75.000182029 -9.13520391199995,-75.0001815529999 -8.14203414599996))),18LWR
